current_shirt_number,firstname,lastname,int_goals,int_caps,main_position,other_position,current_market_value,highest_market_value,highest_market_value_on,date_of_birth,place_of_birth,country_of_birth,height,citizenship,dominant_foot,current_club,joined_on,contract_expiring,last_extension,transfer_history,valuation
#31,,Ederson,0,18,Goalkeeper,,€45.00m,€70.00m,"Jun 13, 2019","Aug 17, 1993",Osasco (SP),Brazil,188,"Brazil,Portugal",left,Manchester City,"Jul 1, 2017","Jun 30, 2026","Sep 1, 2021","{'season': ['17/18', '15/16', '12/13', '11/12', '10/11', '09/10'], 'transfer_date': ['Jul 1, 2017', 'Jul 1, 2015', 'Jul 1, 2012', 'Jul 1, 2011', 'Jul 1, 2010', 'Jan 1, 2010'], 'leaving_club': ['Benfica', 'Rio Ave FC', 'GD Ribeirão', 'Benfica U19', 'Benfica U17', 'São Paulo U17'], 'joining_club': ['Man City', 'Benfica', 'Rio Ave FC', 'GD Ribeirão', 'Benfica U19', 'Benfica U17'], 'market_value': ['€22.00m', '€1.20m', '-', '-', '-', '-'], 'fee': ['€40.00m', '€500Th.', 'free transfer', 'free transfer', '-', '?']}","{'club': ['Rio Ave FC', 'Rio Ave FC', 'Rio Ave FC', 'Rio Ave FC', 'SL Benfica', 'SL Benfica', 'SL Benfica', 'SL Benfica', 'SL Benfica', 'Manchester City', 'Manchester City', 'Manchester City', 'Manchester City', 'Manchester City', 'Manchester City', 'Manchester City', 'Manchester City', 'Manchester City', 'Manchester City', 'Manchester City', 'Manchester City', 'Manchester City', 'Manchester City'], 'market_value': ['Є300Th.', 'Є300Th.', 'Є900Th.', 'Є600Th.', 'Є1.20m', 'Є1.20m', 'Є7.00m', 'Є12.00m', 'Є22.00m', 'Є25.00m', 'Є35.00m', 'Є45.00m', 'Є50.00m', 'Є60.00m', 'Є60.00m', 'Є70.00m', 'Є70.00m', 'Є56.00m', 'Є56.00m', 'Є56.00m', 'Є50.00m', 'Є50.00m', 'Є45.00m'], 'age': ['19', '19', '20', '21', '21', '22', '22', '23', '23', '24', '24', '24', '24', '25', '25', '25', '26', '26', '27', '27', '27', '28', '28'], 'date': ['Apr 3', 'Jul 2', 'Jul 25', 'Feb 17', 'Jul 1', 'Feb 24', 'Jul 29', 'Feb 22', 'Jun 26', 'Oct 23', 'Jan 2', 'Mar 23', 'May 28', 'Oct 17', 'Dec 19', 'Jun 13', 'Dec 10', 'Apr 8', 'Oct 13', 'Mar 18', 'Jun 8', 'Dec 23', 'Jun 15'], 'year': ['2013', '2013', '2014', '2015', '2015', '2016', '2016', '2017', '2017', '2017', '2018', '2018', '2018', '2018', '2018', '2019', '2019', '2020', '2020', '2021', '2021', '2021', '2022']}"
#19,Julián,Álvarez,2,11,Centre-Forward,,€28.00m,€28.00m,"Sep 15, 2022","Jan 31, 2000",Calchín,Argentina,170,Argentina,right,Manchester City,"Jan 31, 2022","Jun 30, 2027",unknown,"{'season': ['22/23', '21/22', '21/22', '18/19', '17/18', '15/16'], 'transfer_date': ['Jul 7, 2022', 'Feb 1, 2022', 'Jan 31, 2022', 'Jan 1, 2019', 'Jan 1, 2018', 'Jan 1, 2016'], 'leaving_club': ['River Plate', 'Man City', 'River Plate', 'River Plate II', 'River Plate U20', 'CA Atalaya'], 'joining_club': ['Man City', 'River Plate', 'Man City', 'River Plate', 'River Plate II', 'River Plate U20'], 'market_value': ['€23.00m', '€20.00m', '€20.00m', '€1.00m', '-', '-'], 'fee': ['End of loan', 'loan transfer', '€17.00m', '-', '-', '?']}","{'club': ['CA River Plate II', 'CA River Plate', 'CA River Plate', 'CA River Plate', 'CA River Plate', 'CA River Plate', 'CA River Plate', 'CA River Plate', 'CA River Plate', 'CA River Plate', 'Manchester City'], 'market_value': ['Є1.00m', 'Є10.00m', 'Є10.00m', 'Є10.00m', 'Є9.00m', 'Є12.00m', 'Є15.00m', 'Є20.00m', 'Є23.00m', 'Є23.00m', 'Є28.00m'], 'age': ['18', '19', '19', '19', '20', '21', '21', '21', '22', '22', '22'], 'date': ['Dec 18', 'May 23', 'Aug 6', 'Dec 5', 'Apr 8', 'Feb 8', 'Jun 11', 'Oct 20', 'Feb 8', 'May 24', 'Sep 15'], 'year': ['2018', '2019', '2019', '2019', '2020', '2021', '2021', '2021', '2022', '2022', '2022']}"
#21,Kieffer,Moore,9,27,Centre-Forward,,€5.00m,€5.00m,"May 25, 2021","Aug 8, 1992",Torquay,England,195,"Wales,England",right,AFC Bournemouth,"Jan 31, 2022","Jun 30, 2025",unknown,"{'season': ['21/22', '20/21', '19/20', '17/18', '17/18', '17/18', '16/17', '16/17', '16/17', '15/16', '15/16', '13/14', '12/13'], 'transfer_date': ['Jan 31, 2022', 'Aug 13, 2020', 'Aug 5, 2019', 'Jan 8, 2018', 'Jan 1, 2018', 'Jul 10, 2017', 'Jan 15, 2017', 'Dec 8, 2016', 'Nov 17, 2016', 'Jan 18, 2016', 'Aug 3, 2015', 'Jul 10, 2013', 'Feb 11, 2013'], 'leaving_club': ['Cardiff', 'Wigan', 'Barnsley FC', 'Ipswich', 'Rotherham', 'Ipswich', 'Forest Green', 'Torquay', 'Forest Green', 'Viking FK', 'Yeovil Town', 'Dorchester', 'Truro City FC'], 'joining_club': ['Bournemouth', 'Cardiff', 'Wigan', 'Barnsley FC', 'Ipswich', 'Rotherham', 'Ipswich', 'Forest Green', 'Torquay', 'Forest Green', 'Viking FK', 'Yeovil Town', 'Dorchester'], 'market_value': ['€5.00m', '€2.00m', '€750Th.', '€200Th.', '€200Th.', '€100Th.', '€100Th.', '€100Th.', '€100Th.', '€100Th.', '€100Th.', '-', '-'], 'fee': ['€4.20m', '€2.20m', '€2.70m', '€850Th.', 'End of loan', 'loan transfer', '€12Th.', 'End of loan', 'loan transfer', 'free transfer', 'free transfer', '?', 'free transfer']}","{'club': ['Yeovil Town', 'Yeovil Town', 'Viking FK', 'Ipswich Town', 'Rotherham United', 'Barnsley FC', 'Wigan Athletic', 'Wigan Athletic', 'Wigan Athletic', 'Cardiff City', 'Cardiff City', 'Cardiff City', 'Cardiff City', 'Cardiff City', 'AFC Bournemouth'], 'market_value': ['Є100Th.', 'Є100Th.', 'Є100Th.', 'Є100Th.', 'Є200Th.', 'Є750Th.', 'Є2.00m', 'Є2.50m', 'Є2.00m', 'Є2.20m', 'Є2.80m', 'Є4.00m', 'Є5.00m', 'Є5.00m', 'Є5.00m'], 'age': ['22', '22', '23', '24', '25', '25', '27', '27', '27', '28', '28', '28', '28', '29', '29'], 'date': ['Oct 8', 'Feb 27', 'Dec 27', 'Feb 27', 'Oct 24', 'Feb 27', 'Oct 17', 'Feb 27', 'Apr 8', 'Oct 15', 'Dec 22', 'Mar 10', 'May 25', 'Nov 24', 'May 13'], 'year': ['2014', '2015', '2015', '2017', '2017', '2018', '2019', '2020', '2020', '2020', '2020', '2021', '2021', '2021', '2022']}"
#30,,Carlos Vinícius,0,0,Centre-Forward,,€6.00m,€20.00m,"Dec 30, 2019","Mar 25, 1995",Rio de Janeiro,Brazil,190,Brazil,left,Fulham FC,"Sep 1, 2022","Jun 30, 2025",unknown,"{'season': ['22/23', '22/23', '21/22', '20/21', '20/21', '19/20', '18/19', '18/19', '18/19', '18/19', '18/19', '17/18', '16/17', '15/16', '14/15'], 'transfer_date': ['Sep 1, 2022', 'Aug 31, 2022', 'Aug 31, 2021', 'Jun 30, 2021', 'Oct 2, 2020', 'Jul 20, 2019', 'Jun 30, 2019', 'Jan 30, 2019', 'Jan 29, 2019', 'Aug 24, 2018', 'Jul 16, 2018', 'Jul 1, 2017', 'Jan 2, 2017', 'Jan 4, 2016', 'Jul 7, 2014'], 'leaving_club': ['Benfica', 'PSV Eindhoven', 'Benfica', 'Spurs', 'Benfica', 'SSC Napoli', 'Monaco', 'SSC Napoli', 'Rio Ave FC', 'SSC Napoli', 'Real SC', 'Anápolis-GO', 'AA Caldense', 'Palmeiras U20', 'Santos FC U20'], 'joining_club': ['Fulham', 'Benfica', 'PSV Eindhoven', 'Benfica', 'Spurs', 'Benfica', 'SSC Napoli', 'Monaco', 'SSC Napoli', 'Rio Ave FC', 'SSC Napoli', 'Real SC', 'Anápolis-GO', 'AA Caldense', 'Palmeiras U20'], 'market_value': ['€8.00m', '€8.00m', '€18.00m', '€18.00m', '€20.00m', '€7.00m', '€7.00m', '€5.00m', '€5.00m', '€700Th.', '€700Th.', '-', '-', '-', '-'], 'fee': ['€5.00m', 'End of loan', 'Loan fee:', '', 'End of loan', 'Loan fee:', '', '€17.00m', 'End of loan', 'loan transfer', 'End of loan', 'loan transfer', '€4.00m', 'free transfer', '?', '?', '?']}","{'club': ['Real SC', 'Real SC', 'Real SC', 'Rio Ave FC', 'Rio Ave FC', 'AS Monaco', 'SL Benfica', 'SL Benfica', 'SL Benfica', 'SL Benfica', 'Tottenham Hotspur', 'Tottenham Hotspur', 'Tottenham Hotspur', 'PSV Eindhoven', 'PSV Eindhoven', 'PSV Eindhoven', 'PSV Eindhoven', 'Fulham FC'], 'market_value': ['Є300Th.', 'Є600Th.', 'Є700Th.', 'Є3.00m', 'Є5.00m', 'Є7.00m', 'Є15.00m', 'Є20.00m', 'Є16.00m', 'Є20.00m', 'Є20.00m', 'Є20.00m', 'Є18.00m', 'Є15.00m', 'Є12.00m', 'Є9.50m', 'Є8.00m', 'Є6.00m'], 'age': ['22', '22', '23', '23', '23', '24', '24', '24', '25', '25', '25', '25', '26', '26', '26', '26', '27', '27'], 'date': ['Sep 8', 'Feb 23', 'Jun 29', 'Nov 1', 'Jan 11', 'Jun 3', 'Oct 11', 'Dec 30', 'Apr 8', 'Aug 17', 'Oct 13', 'Mar 18', 'Jun 8', 'Oct 4', 'Jan 5', 'Mar 17', 'Jun 8', 'Sep 15'], 'year': ['2017', '2018', '2018', '2018', '2019', '2019', '2019', '2019', '2020', '2020', '2020', '2021', '2021', '2021', '2022', '2022', '2022', '2022']}"
#9,Jordan,Ayew,19,81,Centre-Forward,,€6.00m,€10.00m,"Jul 30, 2020","Sep 11, 1991",Marseille,France,182,"Ghana,France",right,Crystal Palace,"Jul 25, 2019","Jun 30, 2023","Jun 8, 2022","{'season': ['19/20', '18/19', '18/19', '16/17', '15/16', '14/15', '13/14', '13/14', '09/10', '08/09'], 'transfer_date': ['Jul 25, 2019', 'May 31, 2019', 'Aug 9, 2018', 'Jan 31, 2017', 'Jul 27, 2015', 'Jul 28, 2014', 'Jun 30, 2014', 'Jan 6, 2014', 'Jul 1, 2009', 'Jul 1, 2008'], 'leaving_club': ['Swansea', 'Crystal Palace', 'Swansea', 'Aston Villa', 'FC Lorient', 'Marseille', 'FC Sochaux', 'Marseille', 'Marseille B', 'Marseille U19'], 'joining_club': ['Crystal Palace', 'Swansea', 'Crystal Palace', 'Swansea', 'Aston Villa', 'FC Lorient', 'Marseille', 'FC Sochaux', 'Marseille', 'Marseille B'], 'market_value': ['€8.00m', '€8.00m', '€8.00m', '€7.50m', '€6.00m', '€3.00m', '€3.00m', '€5.00m', '-', '-'], 'fee': ['€2.80m', 'End of loan', 'loan transfer', '€5.80m', '€12.00m', '€4.00m', 'End of loan', 'loan transfer', '-', '-']}","{'club': ['Olympique Marseille', 'Olympique Marseille', 'Olympique Marseille', 'Olympique Marseille', 'Olympique Marseille', 'Olympique Marseille', 'Olympique Marseille', 'Olympique Marseille', 'Olympique Marseille', 'Olympique Marseille', 'Olympique Marseille', 'FC Sochauxx2DMontbu00E9liard', 'FC Sochauxx2DMontbu00E9liard', 'FC Lorient', 'FC Lorient', 'FC Lorient', 'Aston Villa', 'Aston Villa', 'Aston Villa', 'Swansea City', 'Swansea City', 'Swansea City', 'Swansea City', 'Crystal Palace', 'Swansea City', 'Crystal Palace', 'Crystal Palace', 'Crystal Palace', 'Crystal Palace', 'Crystal Palace', 'Crystal Palace', 'Crystal Palace', 'Crystal Palace'], 'market_value': ['Є300Th.', 'Є800Th.', 'Є1.00m', 'Є1.70m', 'Є2.00m', 'Є3.75m', 'Є4.00m', 'Є4.00m', 'Є5.00m', 'Є5.50m', 'Є5.00m', 'Є4.00m', 'Є3.00m', 'Є3.50m', 'Є4.50m', 'Є6.00m', 'Є9.00m', 'Є7.50m', 'Є7.50m', 'Є7.50m', 'Є7.50m', 'Є7.00m', 'Є8.00m', 'Є8.00m', 'Є8.00m', 'Є8.00m', 'Є6.50m', 'Є10.00m', 'Є10.00m', 'Є8.00m', 'Є8.00m', 'Є6.00m', 'Є6.00m'], 'age': ['18', '18', '19', '19', '19', '20', '20', '20', '21', '21', '21', '22', '22', '22', '23', '23', '24', '24', '24', '25', '25', '26', '26', '27', '27', '28', '28', '28', '29', '29', '29', '30', '30'], 'date': ['Dec 26', 'May 18', 'Dec 28', 'May 24', 'Jun 3', 'Dec 24', 'Feb 2', 'May 23', 'Jan 7', 'May 30', 'Jun 12', 'Jan 14', 'Feb 5', 'Aug 7', 'Jan 14', 'Jun 6', 'Oct 14', 'Feb 9', 'Sep 1', 'Feb 20', 'Jun 28', 'Jan 2', 'May 28', 'Dec 19', 'Jun 13', 'Dec 10', 'Apr 8', 'Jul 30', 'Oct 13', 'Mar 18', 'Jun 8', 'Dec 23', 'Jun 15'], 'year': ['2009', '2010', '2010', '2011', '2011', '2011', '2012', '2012', '2013', '2013', '2013', '2014', '2014', '2014', '2015', '2015', '2015', '2016', '2016', '2017', '2017', '2018', '2018', '2018', '2019', '2019', '2020', '2020', '2020', '2021', '2021', '2021', '2022']}"
#42,Sam,Greenwood,1,1,Centre-Forward,,€3.00m,€3.00m,"Sep 15, 2022","Jan 26, 2002",Sunderland,England,180,England,right,Leeds United,"Jan 1, 2022","Jun 30, 2026","Aug 2, 2022","{'season': ['21/22', '20/21', '18/19'], 'transfer_date': ['Jan 1, 2022', 'Aug 28, 2020', 'Jul 10, 2018'], 'leaving_club': ['Leeds U21', 'Arsenal U18', 'Sunderland U18'], 'joining_club': ['Leeds', 'Leeds U21', 'Arsenal U18'], 'market_value': ['€500Th.', '-', '-'], 'fee': ['-', '€1.70m', '?']}","{'club': ['Leeds United U21', 'Leeds United U21', 'Leeds United', 'Leeds United'], 'market_value': ['Є200Th.', 'Є500Th.', 'Є2.50m', 'Є3.00m'], 'age': ['19', '19', '20', '20'], 'date': ['Mar 18', 'Dec 23', 'Jun 15', 'Sep 15'], 'year': ['2021', '2021', '2022', '2022']}"
#33,Lyle,Taylor,10,13,Centre-Forward,,€500Th.,€1.80m,"Feb 27, 2020","Mar 29, 1990",London,England,188,"Montserrat,England",right,Nottingham Forest,"Aug 15, 2020","Jun 30, 2023",unknown,"{'season': ['21/22', '21/22', '20/21', '18/19', '15/16', '14/15', '14/15', '14/15', '13/14', '13/14', '13/14', '12/13', '11/12', '11/12', '11/12', '11/12', '10/11', '10/11', '10/11', '09/10', '08/09', '08/09', '08/09'], 'transfer_date': ['May 31, 2022', 'Jan 27, 2022', 'Aug 15, 2020', 'Jul 1, 2018', 'Jul 14, 2015', 'May 31, 2015', 'Feb 2, 2015', 'Jul 1, 2014', 'May 31, 2014', 'Jan 1, 2014', 'Jul 17, 2013', 'Jul 13, 2012', 'May 31, 2012', 'Mar 31, 2012', 'Mar 18, 2012', 'Feb 9, 2012', 'Mar 31, 2011', 'Jan 31, 2011', 'Aug 28, 2010', 'Jul 1, 2009', 'May 31, 2009', 'Oct 1, 2008', 'Jul 1, 2008'], 'leaving_club': ['Birmingham', 'Nottm Forest', 'Charlton', 'AFC Wimbledon', 'Scunthorpe Utd.', 'Partick Thistle', 'Scunthorpe Utd.', 'Sheff Utd', 'Partick Thistle', 'Sheff Utd', 'Falkirk', 'Bournemouth', 'Woking', 'Bournemouth', 'Hereford Utd.', 'Bournemouth', 'Lewes', 'Bournemouth', 'Concord Rangers', 'Millwall', 'Eastbourne', 'Millwall', 'Millwall U18'], 'joining_club': ['Nottm Forest', 'Birmingham', 'Nottm Forest', 'Charlton', 'AFC Wimbledon', 'Scunthorpe Utd.', 'Partick Thistle', 'Scunthorpe Utd.', 'Sheff Utd', 'Partick Thistle', 'Sheff Utd', 'Falkirk', 'Bournemouth', 'Woking', 'Bournemouth', 'Hereford Utd.', 'Bournemouth', 'Lewes', 'Bournemouth', 'Concord Rangers', 'Millwall', 'Eastbourne', 'Millwall'], 'market_value': ['€500Th.', '€700Th.', '€1.40m', '€300Th.', '€300Th.', '€300Th.', '€300Th.', '€300Th.', '€300Th.', '€300Th.', '€175Th.', '€75Th.', '€75Th.', '€75Th.', '€75Th.', '€75Th.', '€75Th.', '€75Th.', '-', '-', '-', '-', '-'], 'fee': ['End of loan', 'loan transfer', 'free transfer', 'free transfer', '?', 'End of loan', 'loan transfer', '?', 'End of loan', 'loan transfer', '€250Th.', 'free transfer', 'End of loan', 'loan transfer', 'End of loan', 'loan transfer', 'End of loan', 'loan transfer', 'free transfer', 'free transfer', 'End of loan', 'loan transfer', '-']}","{'club': ['AFC Bournemouth', 'AFC Bournemouth', 'Falkirk FC', 'Falkirk FC', 'Sheffield United', 'AFC Wimbledon', 'Charlton Athletic', 'Charlton Athletic', 'Charlton Athletic', 'Nottingham Forest', 'Nottingham Forest', 'Nottingham Forest', 'Nottingham Forest', 'Birmingham City'], 'market_value': ['Є50Th.', 'Є75Th.', 'Є100Th.', 'Є175Th.', 'Є300Th.', 'Є300Th.', 'Є1.00m', 'Є1.80m', 'Є1.40m', 'Є1.40m', 'Є1.00m', 'Є800Th.', 'Є700Th.', 'Є500Th.'], 'age': ['20', '20', '22', '22', '23', '26', '29', '29', '30', '30', '30', '31', '31', '32'], 'date': ['Nov 23', 'Jan 10', 'Jul 26', 'Mar 9', 'Oct 8', 'Oct 11', 'Oct 17', 'Feb 27', 'Apr 8', 'Oct 15', 'Mar 10', 'Jun 30', 'Nov 24', 'May 13'], 'year': ['2010', '2011', '2012', '2013', '2013', '2016', '2019', '2020', '2020', '2020', '2021', '2021', '2021', '2022']}"
#17,Ivan,Toney,0,0,Centre-Forward,,€40.00m,€40.00m,"Sep 15, 2022","Mar 16, 1996",Northampton,England,185,"England,Jamaica",right,Brentford FC,"Sep 1, 2020","Jun 30, 2025",unknown,"{'season': ['20/21', '18/19', '17/18', '17/18', '17/18', '17/18', '16/17', '16/17', '16/17', '16/17', '15/16', '15/16', '15/16', '15/16', '15/16', '13/14'], 'transfer_date': ['Sep 1, 2020', 'Aug 9, 2018', 'May 31, 2018', 'Jan 11, 2018', 'Jan 10, 2018', 'Aug 2, 2017', 'May 31, 2017', 'Jan 12, 2017', 'Jan 5, 2017', 'Aug 8, 2016', 'May 31, 2016', 'Mar 24, 2016', 'Dec 23, 2015', 'Nov 9, 2015', 'Aug 6, 2015', 'Jul 1, 2013'], 'leaving_club': ['Peterborough', 'Newcastle', 'Scunthorpe Utd.', 'Newcastle', 'Wigan', 'Newcastle', 'Scunthorpe Utd.', 'Newcastle', 'Shrewsbury', 'Newcastle', 'Barnsley FC', 'Newcastle', 'Barnsley FC', 'Newcastle', 'Northampton', 'Northampton U18'], 'joining_club': ['Brentford', 'Peterborough', 'Newcastle', 'Scunthorpe Utd.', 'Newcastle', 'Wigan', 'Newcastle', 'Scunthorpe Utd.', 'Newcastle', 'Shrewsbury', 'Newcastle', 'Barnsley FC', 'Newcastle', 'Barnsley FC', 'Newcastle', 'Northampton'], 'market_value': ['€400Th.', '€500Th.', '€500Th.', '€500Th.', '€500Th.', '€500Th.', '€500Th.', '€500Th.', '€500Th.', '€500Th.', '€500Th.', '€500Th.', '€500Th.', '€500Th.', '€150Th.', '-'], 'fee': ['€5.60m', '€390Th.', 'End of loan', 'loan transfer', 'End of loan', 'loan transfer', 'End of loan', 'loan transfer', 'End of loan', 'loan transfer', 'End of loan', 'loan transfer', 'End of loan', 'loan transfer', '€360Th.', '-']}","{'club': ['Northampton Town', 'Newcastle United', 'Newcastle United', 'Shrewsbury Town', 'Newcastle United', 'Peterborough United', 'Brentford FC', 'Brentford FC', 'Brentford FC', 'Brentford FC', 'Brentford FC', 'Brentford FC', 'Brentford FC', 'Brentford FC', 'Brentford FC'], 'market_value': ['Є150Th.', 'Є500Th.', 'Є500Th.', 'Є500Th.', 'Є500Th.', 'Є400Th.', 'Є4.50m', 'Є10.00m', 'Є18.00m', 'Є28.00m', 'Є32.00m', 'Є32.00m', 'Є35.00m', 'Є35.00m', 'Є40.00m'], 'age': ['18', '19', '19', '20', '21', '24', '24', '24', '24', '25', '25', '25', '26', '26', '26'], 'date': ['Nov 27', 'Oct 14', 'Feb 9', 'Oct 11', 'Jun 28', 'Apr 8', 'Oct 15', 'Dec 22', 'Mar 10', 'Jun 30', 'Oct 5', 'Dec 23', 'Mar 29', 'Jun 15', 'Sep 15'], 'year': ['2014', '2015', '2016', '2016', '2017', '2020', '2020', '2020', '2021', '2021', '2021', '2021', '2022', '2022', '2022']}"
#18,Sékou,Mara,6,10,Centre-Forward,,€12.00m,€12.00m,"Sep 15, 2022","Jul 30, 2002",Paris,France,183,"France,Senegal",right,Southampton FC,"Jul 25, 2022","Jun 30, 2026",unknown,"{'season': ['22/23', '20/21', '19/20', '18/19', '17/18', '14/15'], 'transfer_date': ['Jul 25, 2022', 'Jul 1, 2020', 'Jul 1, 2019', 'Jul 1, 2018', 'Jul 1, 2017', 'Jul 1, 2014'], 'leaving_club': ['G. Bordeaux', 'G. Bordeaux B', 'Bordeaux U17', 'FC Girondins Bor', 'ACBB Youth', 'PSG Youth'], 'joining_club': ['Southampton', 'G. Bordeaux', 'G. Bordeaux B', 'Bordeaux U17', 'FC Girondins Bor', 'ACBB Youth'], 'market_value': ['€3.00m', '-', '-', '-', '-', '-'], 'fee': ['€13.00m', '-', '-', '-', 'free transfer', 'free transfer']}","{'club': ['FC Girondins Bordeaux', 'FC Girondins Bordeaux', 'FC Girondins Bordeaux', 'FC Girondins Bordeaux', 'FC Girondins Bordeaux', 'Southampton FC'], 'market_value': ['Є300Th.', 'Є800Th.', 'Є2.00m', 'Є2.00m', 'Є3.00m', 'Є12.00m'], 'age': ['18', '18', '19', '19', '19', '20'], 'date': ['Mar 9', 'Jun 4', 'Oct 8', 'Dec 16', 'May 30', 'Sep 15'], 'year': ['2021', '2021', '2021', '2021', '2022', '2022']}"
#20,Chris,Wood,33,70,Centre-Forward,,€10.00m,€18.00m,"May 28, 2018","Dec 7, 1991",Auckland,New Zealand,191,New Zealand,right,Newcastle United,"Jan 13, 2022","Jun 30, 2024",unknown,"{'season': ['21/22', '17/18', '15/16', '14/15', '14/15', '12/13', '12/13', '12/13', '11/12', '11/12', '11/12', '11/12', '10/11', '10/11', '10/11', '10/11', '09/10', '08/09', '07/08'], 'transfer_date': ['Jan 13, 2022', 'Aug 21, 2017', 'Jul 1, 2015', 'Apr 24, 2015', 'Feb 27, 2015', 'Jan 1, 2013', 'Dec 28, 2012', 'Sep 17, 2012', 'May 1, 2012', 'Jan 12, 2012', 'Jan 3, 2012', 'Aug 5, 2011', 'May 31, 2011', 'Nov 19, 2010', 'Nov 14, 2010', 'Sep 23, 2010', 'Jul 1, 2009', 'Jul 1, 2008', 'Jan 1, 2008'], 'leaving_club': ['Burnley', 'Leeds', 'Leicester', 'Ipswich', 'Leicester', 'West Brom', 'Millwall', 'West Brom', 'Bristol City', 'West Brom', 'Birmingham', 'West Brom', 'Brighton', 'West Brom', 'Barnsley FC', 'West Brom', 'West Brom U18', 'Waikato FC', 'Waikato FC Yth.'], 'joining_club': ['Newcastle', 'Burnley', 'Leeds', 'Leicester', 'Ipswich', 'Leicester', 'West Brom', 'Millwall', 'West Brom', 'Bristol City', 'West Brom', 'Birmingham', 'West Brom', 'Brighton', 'West Brom', 'Barnsley FC', 'West Brom', 'West Brom U18', 'Waikato FC'], 'market_value': ['€6.00m', '€6.00m', '€1.00m', '€1.00m', '€1.00m', '€1.00m', '€1.00m', '€1.00m', '€750Th.', '€750Th.', '€750Th.', '€750Th.', '€750Th.', '€750Th.', '€750Th.', '€750Th.', '-', '-', '-'], 'fee': ['€30.00m', '€16.40m', '€3.60m', 'End of loan', 'loan transfer', '€1.23m', 'End of loan', 'loan transfer', 'End of loan', 'loan transfer', 'End of loan', 'loan transfer', 'End of loan', 'loan transfer', 'End of loan', 'loan transfer', '-', 'free transfer', '-']}","{'club': ['West Bromwich Albion', 'West Bromwich Albion', 'West Bromwich Albion', 'Birmingham City', 'West Bromwich Albion', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Leeds United', 'Leeds United', 'Leeds United', 'Leeds United', 'Burnley FC', 'Burnley FC', 'Burnley FC', 'Burnley FC', 'Burnley FC', 'Burnley FC', 'Burnley FC', 'Burnley FC', 'Burnley FC', 'Burnley FC', 'Burnley FC', 'Newcastle United', 'Newcastle United'], 'market_value': ['Є150Th.', 'Є600Th.', 'Є750Th.', 'Є750Th.', 'Є1.00m', 'Є1.50m', 'Є2.00m', 'Є1.30m', 'Є1.25m', 'Є1.00m', 'Є2.50m', 'Є2.50m', 'Є3.00m', 'Є6.00m', 'Є12.00m', 'Є12.00m', 'Є18.00m', 'Є18.00m', 'Є18.00m', 'Є18.00m', 'Є14.50m', 'Є12.00m', 'Є8.00m', 'Є8.00m', 'Є6.00m', 'Є10.00m', 'Є10.00m'], 'age': ['17', '17', '18', '19', '20', '21', '21', '22', '22', '23', '23', '24', '24', '25', '25', '26', '26', '27', '27', '28', '28', '28', '29', '29', '30', '30', '30'], 'date': ['Sep 6', 'Nov 29', 'Jul 19', 'Aug 8', 'Jun 24', 'Mar 2', 'Jul 11', 'Jan 8', 'Aug 12', 'Feb 12', 'Sep 24', 'Apr 20', 'Sep 1', 'Feb 27', 'Oct 23', 'Jan 2', 'May 28', 'Dec 19', 'Jun 13', 'Dec 10', 'Apr 8', 'Oct 13', 'Mar 18', 'Jun 8', 'Dec 23', 'Mar 29', 'Jun 15'], 'year': ['2009', '2009', '2010', '2011', '2012', '2013', '2013', '2014', '2014', '2015', '2015', '2016', '2016', '2017', '2017', '2018', '2018', '2018', '2019', '2019', '2020', '2020', '2021', '2021', '2021', '2022', '2022']}"
